remark,reading,comment,time
招商局置地前三季度合同销售额371.19亿元,113,0,2021-10-15 19:19:57
招商局置地(00978.HK)前9个月合同销售总额371.19亿元 同比增长约12%,92,0,2021-10-15 18:12:42
招商局置地前9月销售额371.19亿元 完成全年目标67.5%,88,0,2021-10-15 17:48:02
招商局置地(00978.HK):前9月合同销售总额增12%至约人民币371.19万元,195,0,
招商局置地(978)首九个月合同销售总额按年增12%,83,0,2021-10-15 16:47:07
招商局置地(00978)前9个月合同销售总额371.19亿元 同比增长约12%,201,0,
招商局置地(00978.HK)前三季度合同销售额达371.19亿元  同比增长约12%,72,0,2021-10-15 16:36:13
招商局置地(00978)前9个月合同销售总额371.19亿元 同比增长约12%,74,0,2021-10-15 16:35:40
截至二零二一年九月三十日止九个月之未经审核营运数据,171,0,2021-10-15 16:30:54
股份发行人的证券变动月报表,596,0,2021-10-04 16:27:43
2021 中期报告,407,0,2021-09-24 16:50:10
转发,309,0,2021-09-08 21:25:20
招商局置地：为广州市悦商房地产增资5亿元,215,0,2021-09-07 14:05:22
港股应该和A股一样规定股票价格20天低于1元就退市，打击空头[666][666],482,2,2021-07-06 23:33:48
招商局置地(00978.HK)藉投资广州市悦商房地产开发参与东东风化工住宅改造项目,320,0,
招商局置地(00978.HK)投资广州市悦商房地产开发有限公司,420,0,2021-09-03 20:14:32
招商局置地(00978)拟向广州市悦商房地产开发增资5亿元,910,0,
招商局置地(00978)拟向广州市悦商房地产开发增资5亿元,369,0,2021-09-03 20:12:59
须予披露交易:投资广州市悦商房地产开发有限公司,569,0,2021-09-03 20:05:06
股份发行人的证券变动月报表,737,0,2021-09-01 11:36:28
招商局置地上半年收入同比增长145%毛利率降9.43个百分点,304,0,2021-08-23 11:10:04
招商局置地上半年净利2.97亿元 同比增长2.5倍,221,0,2021-08-19 11:44:06
招商局置地上半年营收73亿 归属股东净利润近3亿,384,0,2021-08-18 21:57:35
招商局置地上半年公司拥有人应占溢利同比增258%至2.97亿,254,0,2021-08-18 20:38:08
这是哪家的部将？,466,1,2021-08-12 11:44:35
招商局置地上半年毛利率20% 较去年同期下滑9个百分点,352,0,2021-08-18 20:08:49
招商局置地(00978.HK)上半年纯利大增258.09%至2.97亿元,313,0,2021-08-18 20:00:35
招商局置地(00978.HK)上半年公司拥有人应占溢利同比增长258.09%至2.97亿元,234,0,2021-08-18 19:59:00
招商局置地(00978)中期股东应占溢利同比增加258.09%至2.97亿元,343,0,2021-08-18 19:52:12
截至二零二一年六月三十日止六个月之中期业绩公告,732,0,2021-08-18 19:44:30
招商局置地(00978.HK)将于8月18日举行董事会会议以审批中期业绩,490,0,2021-08-06 21:07:00
董事会会议日期,850,0,2021-08-06 21:01:00
股份发行人的证券变动月报表,822,0,2021-08-02 14:28:29
招商局置地(00978)获一家银行不超过7亿元定期贷款,213,0,2021-07-26 10:06:01
招商局置地：获得一笔不超过7亿港元定期贷款融资,630,0,2021-07-25 21:06:15
招商局置地(00978)获授不超过7亿港元的已承诺定期贷款融资,387,0,2021-07-23 21:03:19
招商局置地(00978.HK)获得7亿港元贷款融资,369,0,2021-07-23 21:03:18
根据上市规则第13.18条之披露,770,0,2021-07-23 21:00:21
横盘1年多了，格劳资的[看多][大笑][大笑][买入][满仓][看多],443,0,2021-07-19 15:33:15
招商局置地(00978)预期上半年净利润同比增加约240%–260%招商局置地(,505,0,2021-07-12 15:01:03
"招商置地曾升3%,上半年合同销售按年升47%发盈喜",592,0,2021-07-12 13:48:49
招商局置地(00978.HK)午后直线拉升 现涨3.6%,523,0,2021-07-12 13:02:53
招商局置地上半年合同销售总额按年升47%至288.5亿人民币,350,0,2021-07-12 12:50:26
招商局置地料中期纯利按年增加约最多260%,404,0,2021-07-12 12:50:22
招商局置地(00978)上半年合同销售总额288.53亿元 同比增长约47%,377,0,2021-07-12 12:32:07
招商局置地(00978.HK)上半年全口径合同销售额劲升47%至288.53亿元,437,0,2021-07-12 12:31:22
